onset	duration	nwb_table	cv_transition_time	speak	condition	label
3.6084938	0.3453919999999999	trials	3.7351631	True	raa	
4.5742447	0.4707594999999998	trials	4.7620097	True	shee	
5.9423504	0.3999030000000001	trials	6.0088087	True	yoo	
7.258651	0.3814587999999999	trials	7.2694468	True	baa	
8.3302215	0.44724469999999883	trials	8.4556299	True	zee	
9.6486103	0.44672670000000103	trials	9.6738953	True	gee	
10.6909974	0.41044780000000003	trials	10.7832761	True	kee	
12.0578944	0.5103469	trials	12.1120164	True	ree	
13.3706693	0.4750572000000002	trials	13.4059116	True	thee	
14.4568867	0.5027176999999998	trials	14.5638722	True	voo	
15.7885414	0.43627090000000024	trials	15.8653192	True	noo	
17.3379431	0.4365679	trials	17.3719267	True	dee	
18.3216345	0.5495189000000025	trials	18.3950774	True	yee	
19.4172376	0.42477129999999974	trials	19.4987106	True	koo	
20.6039133	0.4168811000000012	trials	20.646711	True	fee	
21.7750375	0.4258632999999996	trials	21.8268174	True	hee	
22.9698715	0.4431018999999985	trials	22.9943664	True	vaa	
24.1203532	0.4399678999999992	trials	24.1521743	True	loo	
25.29987	0.41067970000000287	trials	25.309901	True	hoo	
26.4904731	0.5260856000000018	trials	26.6210305	True	kaa	
27.7084576	0.4197665999999991	trials	27.7607907	True	poo	
28.8906351	0.49688919999999825	trials	28.9118541	True	bee	
30.1521727	0.4545686999999994	trials	30.203929	True	paa	
31.2255282	0.4963900999999993	trials	31.3372748	True	taa	
32.4480706	0.5185649999999953	trials	32.4870889	True	naa	
33.5580914	0.6222520999999972	trials	33.6957161	True	saa	
35.1513626	0.6957695999999984	trials	35.4448445	True	shoo	
36.4235094	0.5216801999999987	trials	36.5076134	True	foo	
37.4698104	0.4369879999999995	trials	37.4874308	True	daa	
39.6823931	0.38170279999999934	trials	39.7117234	True	goo	
40.9663027	0.4087018000000029	trials	41.0423483	True	mee	
42.2219815	0.5475583999999998	trials	42.3396095	True	zaa	
43.4000259	0.5575566999999992	trials	43.5717628	True	see	
44.4663237	0.5228565000000032	trials	44.6245334	True	zoo	
45.4291089	0.43992869999999584	trials	45.5085078	True	too	
46.467176	0.4593373000000014	trials	46.497594	True	vee	
47.3070399	0.4646304999999984	trials	47.4034948	True	thaa	
50.3136115	0.5534396999999984	trials	50.3771306	True	thoo	
51.5182532	0.4614518000000061	trials	51.5539138	True	mee	
52.43	0.40967270000000156	trials	52.4379962	True	boo	
55.3510305	0.5493226999999976	trials	55.5368827	True	soo	
56.5370897	0.46720229999999674	trials	56.6160059	True	roo	
57.5865506	0.44757449999999466	trials	57.6800648	True	tee	
58.5699206	0.44169309999999484	trials	58.6293227	True	haa	
59.5579958	0.4928613000000013	trials	59.637119	True	waa	
60.5723291	0.48094460000000083	trials	60.6263915	True	pee	
61.5880173	0.4794525000000007	trials	61.6085614	True	lee	
62.4801048	0.5868169000000023	trials	62.5436304	True	wee	
63.8028281	0.5491592999999995	trials	63.8620899	True	yaa	
65.2788418	0.4875271000000083	trials	65.3057072	True	gaa	
66.5788698	0.5167520999999908	trials	66.6936646	True	shaa	
67.896728	0.3578461000000033	trials	67.9242883	True	doo	
69.4816883	0.3966588999999914	trials	69.5938906	True	woo	
73.1317174	0.45184709999999484	trials	73.2090214	True	kee	
74.1736876	0.6099559000000028	trials	74.3266623	True	fee	
75.7500058	0.4590814000000023	trials	75.7721302	True	vaa	
76.8325081	0.3968633000000068	trials	76.8564614	True	bee	
77.8962541	0.5703046	trials	78.0947019	True	zoo	
78.7734122	0.6074935000000039	trials	78.9732016	True	shaa	
80.1891093	0.4440646999999984	trials	80.2191353	True	vaa	
83.3845052	0.33502670000000023	trials	83.4255934	True	noo	
83.56381822228082	0.9228566106789771	invalid_times				
88.6247274	0.3066223000000008	trials	88.7281813	True	noo	
91.2525172	0.4322003000000052	trials	91.3162206	True	waa	
93.7474177	0.44248799999999733	trials	93.7908763	True	woo	
95.2844125	0.46710029999999847	trials	95.3474861	True	laa	
96.3965412	0.4493386999999984	trials	96.4788672	True	roo	
97.6124354	0.4156850000000105	trials	97.6386105	True	yee	
99.4263053	0.47485710000000836	trials	99.4728971	True	maa	
100.2181011	0.4527663000000075	trials	100.255943	True	moo	
101.0018514	0.4977990999999946	trials	101.0814633	True	mee	
101.7991201	0.3802414000000027	trials	101.8307264	True	hoo	
102.8169113	0.422852000000006	trials	102.8278176	True	goo	
103.7895262	0.43990390000000446	trials	103.848788	True	loo	
104.8846842	0.4428522999999984	trials	104.9455052	True	hee	
105.7217206	0.3973000999999954	trials	105.7952601	True	tee	
106.6340924	0.41570129999999494	trials	106.6704396	True	vee	
109.1802572	0.5502996000000024	trials	109.3467022	True	zee	
110.1926714	0.46585389999999904	trials	110.325728	True	haa	
111.1190818	0.396988499999992	trials	111.1792222	True	kaa	
112.4007253	0.6712034999999901	trials	112.6521929	True	she	
113.8032727	0.5846328000000085	trials	114.036667	True	shoo	
116.5298422	0.44977910000000065	trials	116.6012004	True	pee	
117.2256627	0.4611493999999965	trials	117.3269353	True	kaa	
118.1577458	0.4234115000000003	trials	118.1846112	True	wee	
118.9145778	0.43531629999999666	trials	119.0077486	True	foo	
120.043061	0.3942885000000018	trials	120.058074	True	gee	
121.3215355	0.4670023999999984	trials	121.3484008	True	raa	
122.2934289	0.41641290000001163	trials	122.3463694	True	mee	
125.5658494	0.405761499999997	trials	125.6291058	True	poo	
126.2856638	0.4595111000000003	trials	126.395973	True	faa	
127.0836917	0.40322069999999144	trials	127.117657	True	doo	
127.9914057	0.48143419999999537	trials	128.067108	True	zaa	
