onset	duration	nwb_table	cv_transition_time	speak	condition	label
1.0206998994011975	3.0438545117764466	invalid_times				
21.903537820359283	1.621725764471055	invalid_times				
29.1948	0.5228122000000006	trials	29.3957838	True	raa	
30.255689	0.5368047999999987	trials	30.4477684	True	shee	
32.0848957	0.48083460000000144	trials	32.1637627	True	yoo	
33.8873893	0.3688943000000009	trials	33.9013819	True	baa	
34.6747878	0.49482710000000196	trials	34.8452423	True	zee	
35.6211923	0.45666570000000206	trials	35.6351849	True	gee	
36.517987	0.5037313999999995	trials	36.6362875	True	kee	
37.5572511	0.5965910999999977	trials	37.684456	True	ree	
41.746109	0.4732023000000041	trials	41.7588295	True	dee	
42.782829	0.4668421000000009	trials	42.834983	True	yee	
43.8984161	0.4960992000000033	trials	43.9874596	True	koo	
44.7697698	0.48083460000000144	trials	44.8880704	True	fee	
45.7187185	0.5457090999999963	trials	45.8739085	True	hee	
46.8673789	0.47447430000000423	trials	46.9513341	True	vaa	
47.8239598	0.5851426000000046	trials	47.9880542	True	loo	
49.0209581	0.39687930000000193	trials	49.0858326	True	hoo	
113.2250948	0.5202681000000098	trials	113.334491	True	laa	
114.3979241	0.5304445000000015	trials	114.4831514	True	roo	
115.6852378	0.5024594000000064	trials	115.7615608	True	yee	
117.009441	0.4630259000000052	trials	117.0844919	True	maa	
119.0319991	0.5024594000000064	trials	119.1172264	True	moo	
120.4668706	0.4897389000000061	trials	120.529201	True	nee	
121.6333396	0.5151800000000009	trials	121.7109346	True	hoo	
124.3186354	0.4770183999999915	trials	124.4089509	True	loo	
125.5563392	0.49482710000000907	trials	125.6606473	True	hee	
127.0230119	0.506275599999995	trials	127.1362243	True	tee	
129.588735	0.6462009999999907	trials	129.8355126	True	zee	
130.9689084	0.4770183999999915	trials	131.1215542	True	haa	
132.3363612	0.4337687000000017	trials	132.3694345	True	gaa	
133.6923656	0.6551053000000024	trials	133.8729966	True	shee	
136.6956736	0.3523576000000048	trials	136.7541879	True	pee	
137.223574	0.47574639999999135	trials	137.3953007	True	shoo	
139.6480997	0.4706582000000026	trials	139.7218785	True	pee	
140.9951997	0.4414011000000073	trials	141.1262208	True	kaa	
142.4427917	0.569878000000017	trials	142.5254749	True	wee	
143.8903836	0.48083459999998013	trials	144.0099562	True	foo	
145.4842612	0.5647897999999998	trials	145.5084301	True	gee	
146.8021041	0.5024593999999922	trials	146.8911476	True	raa	
148.2662327	0.5139077999999984	trials	148.3476438	True	ree	
151.3331432	0.4617537999999968	trials	151.4616201	True	faa	
152.9804468	0.48465079999999716	trials	153.0147922	True	doo	
154.356804	0.4871947999999975	trials	154.4890971	True	zaa	
155.6721028	0.5050034999999866	trials	155.7496978	True	naa	
157.0446439	0.5444369999999878	trials	157.100614	True	thoo	
158.3357737	0.4910109999999861	trials	158.4337215	True	paa	
159.4971546	0.5533414000000221	trials	159.5951024	True	mee	
