onset	duration	nwb_table	cv_transition_time	speak	condition	label
2.094907165194462	3.098161478707976	invalid_times				
8.002418	0.3307310000000001	trials	8.0304029	True	raa	
8.9030239	0.4719276999999984	trials	9.086198	True	shee	
10.1508974	0.3777965999999999	trials	10.1916028	True	yoo	
11.372058	0.3281868999999986	trials	11.3873225	True	baa	
12.8018335	0.4261341999999999	trials	12.9303098	True	zee	
13.9746565	0.31546649999999943	trials	13.9988253	True	gee	
15.0482602	0.4057814999999998	trials	15.1423913	True	kee	
16.2236273	0.42613409999999874	trials	16.2592445	True	ree	
18.6099786	0.41977399999999676	trials	18.650684	True	voo	
20.2318325	0.5011846999999996	trials	20.4150066	True	noo	
22.594015	0.4108697000000028	trials	22.6347204	True	dee	
23.6688908	0.44267070000000075	trials	23.7159563	True	yee	
24.6534515	0.4083256000000013	trials	24.7412224	True	koo	
25.6240197	0.39560519999999855	trials	25.7016143	True	fee	
26.6874471	0.40450939999999846	trials	26.7764901	True	hee	
27.7546906	0.3688922000000012	trials	27.7801314	True	vaa	
28.670561	0.36507609999999957	trials	28.7125384	True	loo	
29.5813433	0.35362770000000054	trials	29.602968	True	hoo	
30.985678	0.4083255000000001	trials	31.0645446	True	kaa	
31.9040925	0.3663482000000009	trials	31.9587903	True	poo	
32.7639931	0.3828846999999982	trials	32.8021543	True	bee	
33.5704679	0.38161270000000513	trials	33.6315259	True	paa	
34.4112878	0.4134138000000007	trials	34.4863383	True	taa	
35.3856722	0.3599880000000013	trials	35.4136572	True	naa	
36.0954718	0.5100890000000007	trials	36.2595653	True	saa	
37.3980431	0.5317136999999974	trials	37.5875774	True	shoo	
38.2159663	0.4757438000000036	trials	38.3698834	True	foo	
39.1203884	0.3828846999999982	trials	39.1356529	True	daa	
40.2105286	0.4871921999999955	trials	40.3084759	True	faa	
41.2039936	0.3854287999999997	trials	41.2268904	True	goo	
41.9621308	0.4045095000000032	trials	42.0435415	True	mee	
42.9250668	0.5113609999999937	trials	43.0319184	True	zaa	
43.6768438	0.5635148000000001	trials	43.8892749	True	see	
44.6130669	0.5495222999999996	trials	44.9374377	True	zoo	
45.577275	0.38924490000000134	trials	45.6637739	True	too	
46.4549842	0.3777965000000023	trials	46.4842411	True	vee	
47.0999096	0.4019654000000017	trials	47.1736881	True	thaa	
48.31471	0.4782879000000051	trials	48.4851637	True	moo	
49.1809708	0.5457061000000039	trials	49.3616008	True	thoo	
50.1744358	0.370164299999999	trials	50.2342218	True	nee	
50.9592859	0.37143629999999916	trials	51.0050794	True	boo	
51.8509875	0.42231809999999825	trials	51.9145896	True	laa	
52.7019838	0.4337663999999961	trials	52.7948429	True	maa	
53.4753855	0.5202652999999984	trials	53.6598317	True	soo	
54.4752108	0.40578150000000335	trials	54.5337247	True	roo	
56.3362086	0.38034069999999787	trials	56.4048989	True	tee	
57.3334898	0.3676201999999975	trials	57.4276209	True	haa	
58.3981892	0.3536277000000041	trials	58.4605192	True	waa	
59.6969443	0.3727084000000005	trials	59.7427379	True	pee	
