name	electrode_name	type	units	sampling_frequency	stream_id	gain
ch000	e000	n/a	V	3051.7578	ElectricalSeries	0.001
ch001	e001	n/a	V	3051.7578	ElectricalSeries	0.001
ch002	e002	n/a	V	3051.7578	ElectricalSeries	0.001
ch003	e003	n/a	V	3051.7578	ElectricalSeries	0.001
ch004	e004	n/a	V	3051.7578	ElectricalSeries	0.001
ch005	e005	n/a	V	3051.7578	ElectricalSeries	0.001
ch006	e006	n/a	V	3051.7578	ElectricalSeries	0.001
ch007	e007	n/a	V	3051.7578	ElectricalSeries	0.001
ch008	e008	n/a	V	3051.7578	ElectricalSeries	0.001
ch009	e009	n/a	V	3051.7578	ElectricalSeries	0.001
ch010	e010	n/a	V	3051.7578	ElectricalSeries	0.001
ch011	e011	n/a	V	3051.7578	ElectricalSeries	0.001
ch012	e012	n/a	V	3051.7578	ElectricalSeries	0.001
ch013	e013	n/a	V	3051.7578	ElectricalSeries	0.001
ch014	e014	n/a	V	3051.7578	ElectricalSeries	0.001
ch015	e015	n/a	V	3051.7578	ElectricalSeries	0.001
ch016	e016	n/a	V	3051.7578	ElectricalSeries	0.001
ch017	e017	n/a	V	3051.7578	ElectricalSeries	0.001
ch018	e018	n/a	V	3051.7578	ElectricalSeries	0.001
ch019	e019	n/a	V	3051.7578	ElectricalSeries	0.001
ch020	e020	n/a	V	3051.7578	ElectricalSeries	0.001
ch021	e021	n/a	V	3051.7578	ElectricalSeries	0.001
ch022	e022	n/a	V	3051.7578	ElectricalSeries	0.001
ch023	e023	n/a	V	3051.7578	ElectricalSeries	0.001
ch024	e024	n/a	V	3051.7578	ElectricalSeries	0.001
ch025	e025	n/a	V	3051.7578	ElectricalSeries	0.001
ch026	e026	n/a	V	3051.7578	ElectricalSeries	0.001
ch027	e027	n/a	V	3051.7578	ElectricalSeries	0.001
ch028	e028	n/a	V	3051.7578	ElectricalSeries	0.001
ch029	e029	n/a	V	3051.7578	ElectricalSeries	0.001
ch030	e030	n/a	V	3051.7578	ElectricalSeries	0.001
ch031	e031	n/a	V	3051.7578	ElectricalSeries	0.001
ch032	e032	n/a	V	3051.7578	ElectricalSeries	0.001
ch033	e033	n/a	V	3051.7578	ElectricalSeries	0.001
ch034	e034	n/a	V	3051.7578	ElectricalSeries	0.001
ch035	e035	n/a	V	3051.7578	ElectricalSeries	0.001
ch036	e036	n/a	V	3051.7578	ElectricalSeries	0.001
ch037	e037	n/a	V	3051.7578	ElectricalSeries	0.001
ch038	e038	n/a	V	3051.7578	ElectricalSeries	0.001
ch039	e039	n/a	V	3051.7578	ElectricalSeries	0.001
ch040	e040	n/a	V	3051.7578	ElectricalSeries	0.001
ch041	e041	n/a	V	3051.7578	ElectricalSeries	0.001
ch042	e042	n/a	V	3051.7578	ElectricalSeries	0.001
ch043	e043	n/a	V	3051.7578	ElectricalSeries	0.001
ch044	e044	n/a	V	3051.7578	ElectricalSeries	0.001
ch045	e045	n/a	V	3051.7578	ElectricalSeries	0.001
ch046	e046	n/a	V	3051.7578	ElectricalSeries	0.001
ch047	e047	n/a	V	3051.7578	ElectricalSeries	0.001
ch048	e048	n/a	V	3051.7578	ElectricalSeries	0.001
ch049	e049	n/a	V	3051.7578	ElectricalSeries	0.001
ch050	e050	n/a	V	3051.7578	ElectricalSeries	0.001
ch051	e051	n/a	V	3051.7578	ElectricalSeries	0.001
ch052	e052	n/a	V	3051.7578	ElectricalSeries	0.001
ch053	e053	n/a	V	3051.7578	ElectricalSeries	0.001
ch054	e054	n/a	V	3051.7578	ElectricalSeries	0.001
ch055	e055	n/a	V	3051.7578	ElectricalSeries	0.001
ch056	e056	n/a	V	3051.7578	ElectricalSeries	0.001
ch057	e057	n/a	V	3051.7578	ElectricalSeries	0.001
ch058	e058	n/a	V	3051.7578	ElectricalSeries	0.001
ch059	e059	n/a	V	3051.7578	ElectricalSeries	0.001
ch060	e060	n/a	V	3051.7578	ElectricalSeries	0.001
ch061	e061	n/a	V	3051.7578	ElectricalSeries	0.001
ch062	e062	n/a	V	3051.7578	ElectricalSeries	0.001
ch063	e063	n/a	V	3051.7578	ElectricalSeries	0.001
ch064	e064	n/a	V	3051.7578	ElectricalSeries	0.001
ch065	e065	n/a	V	3051.7578	ElectricalSeries	0.001
ch066	e066	n/a	V	3051.7578	ElectricalSeries	0.001
ch067	e067	n/a	V	3051.7578	ElectricalSeries	0.001
ch068	e068	n/a	V	3051.7578	ElectricalSeries	0.001
ch069	e069	n/a	V	3051.7578	ElectricalSeries	0.001
ch070	e070	n/a	V	3051.7578	ElectricalSeries	0.001
ch071	e071	n/a	V	3051.7578	ElectricalSeries	0.001
ch072	e072	n/a	V	3051.7578	ElectricalSeries	0.001
ch073	e073	n/a	V	3051.7578	ElectricalSeries	0.001
ch074	e074	n/a	V	3051.7578	ElectricalSeries	0.001
ch075	e075	n/a	V	3051.7578	ElectricalSeries	0.001
ch076	e076	n/a	V	3051.7578	ElectricalSeries	0.001
ch077	e077	n/a	V	3051.7578	ElectricalSeries	0.001
ch078	e078	n/a	V	3051.7578	ElectricalSeries	0.001
ch079	e079	n/a	V	3051.7578	ElectricalSeries	0.001
ch080	e080	n/a	V	3051.7578	ElectricalSeries	0.001
ch081	e081	n/a	V	3051.7578	ElectricalSeries	0.001
ch082	e082	n/a	V	3051.7578	ElectricalSeries	0.001
ch083	e083	n/a	V	3051.7578	ElectricalSeries	0.001
ch084	e084	n/a	V	3051.7578	ElectricalSeries	0.001
ch085	e085	n/a	V	3051.7578	ElectricalSeries	0.001
ch086	e086	n/a	V	3051.7578	ElectricalSeries	0.001
ch087	e087	n/a	V	3051.7578	ElectricalSeries	0.001
ch088	e088	n/a	V	3051.7578	ElectricalSeries	0.001
ch089	e089	n/a	V	3051.7578	ElectricalSeries	0.001
ch090	e090	n/a	V	3051.7578	ElectricalSeries	0.001
ch091	e091	n/a	V	3051.7578	ElectricalSeries	0.001
ch092	e092	n/a	V	3051.7578	ElectricalSeries	0.001
ch093	e093	n/a	V	3051.7578	ElectricalSeries	0.001
ch094	e094	n/a	V	3051.7578	ElectricalSeries	0.001
ch095	e095	n/a	V	3051.7578	ElectricalSeries	0.001
ch096	e096	n/a	V	3051.7578	ElectricalSeries	0.001
ch097	e097	n/a	V	3051.7578	ElectricalSeries	0.001
ch098	e098	n/a	V	3051.7578	ElectricalSeries	0.001
ch099	e099	n/a	V	3051.7578	ElectricalSeries	0.001
ch100	e100	n/a	V	3051.7578	ElectricalSeries	0.001
ch101	e101	n/a	V	3051.7578	ElectricalSeries	0.001
ch102	e102	n/a	V	3051.7578	ElectricalSeries	0.001
ch103	e103	n/a	V	3051.7578	ElectricalSeries	0.001
ch104	e104	n/a	V	3051.7578	ElectricalSeries	0.001
ch105	e105	n/a	V	3051.7578	ElectricalSeries	0.001
ch106	e106	n/a	V	3051.7578	ElectricalSeries	0.001
ch107	e107	n/a	V	3051.7578	ElectricalSeries	0.001
ch108	e108	n/a	V	3051.7578	ElectricalSeries	0.001
ch109	e109	n/a	V	3051.7578	ElectricalSeries	0.001
ch110	e110	n/a	V	3051.7578	ElectricalSeries	0.001
ch111	e111	n/a	V	3051.7578	ElectricalSeries	0.001
ch112	e112	n/a	V	3051.7578	ElectricalSeries	0.001
