onset	duration	nwb_table	cv_transition_time	speak	condition	label
19.975253997099536	2.999283984706654	invalid_times				
25.2247174	0.36253380000000135	trials	25.2794155	True	raa	
26.005755	0.4693858999999989	trials	26.1965623	True	shee	
28.0410323	0.375254199999997	trials	28.0575689	True	baa	
31.6752742	0.43249640000000156	trials	31.7566853	True	raa	
32.4499516	0.6169434000000038	trials	32.6611116	True	shee	
33.409076	0.5024591000000029	trials	33.5261045	True	yoo	
34.5971691	0.38161449999999775	trials	34.6098896	True	baa	
35.1963039	0.6983545000000007	trials	35.5117718	True	zee	
36.1935897	0.4019673000000026	trials	36.2203027	True	gee	
37.4554616	0.4604815000000002	trials	37.5356007	True	kee	
38.0863976	0.5011870000000016	trials	38.2008819	True	ree	
39.1282051	0.4986429000000001	trials	39.2325131	True	thee	
40.0924177	0.4299523000000036	trials	40.1356673	True	voo	
42.8387699	0.4401286999999954	trials	42.9100046	True	noo	
44.1362592	0.41977590000000475	trials	44.1820529	True	dee	
45.0216048	0.5431646000000043	trials	45.0902954	True	yee	
46.0125304	0.487194499999994	trials	46.0964856	True	koo	
46.9423977	0.42613620000000196	trials	46.9894635	True	fee	
48.0465356	0.4414008000000038	trials	48.1406672	True	hee	
48.9891234	0.43376840000000527	trials	49.032373	True	vaa	
49.8910056	0.449033	trials	49.9711446	True	loo	
50.7407339	0.35362939999999554	trials	50.796704	True	hoo	
52.14421791219512	0.47790788767304093	invalid_times				
53.1563535	0.4274082999999962	trials	53.2237721	True	kaa	
53.9946334	0.43631249999999966	trials	54.0735004	True	poo	
54.907964	0.3549014999999969	trials	54.9308609	True	bee	
56.1761962	0.46175350000000037	trials	56.2550632	True	paa	
57.0437331	0.47192990000000634	trials	57.1594895	True	taa	
59.0357607	0.5597011999999992	trials	59.1833183	True	saa	
60.8013637	0.5711496999999994	trials	60.9807225	True	shoo	
61.9258544	0.5609733000000006	trials	62.0632356	True	foo	
63.1902704	0.4744739999999936	trials	63.2182554	True	daa	
64.0285502	0.552068900000009	trials	64.1621153	True	faa	
65.0347404	0.4375845999999939	trials	65.0678136	True	goo	
66.1401503	0.4884665999999953	trials	66.2050248	True	mee	
67.2264796	0.5546129999999891	trials	67.3676769	True	zaa	
68.1398102	0.6423843999999974	trials	68.3598746	True	see	
69.3380797	0.6054950000000048	trials	69.582313	True	zoo	
70.3760711	0.508819299999999	trials	70.4676586	True	too	
71.3568203	0.4846504000000067	trials	71.4293271	True	vee	
72.4227968	0.4363125999999937	trials	72.5092961	True	thaa	
73.5740005	0.42613620000000196	trials	73.6223383	True	moo	
74.5967273	0.4490331000000083	trials	74.6234403	True	thoo	
75.5787486	0.4757460000000009	trials	75.6461671	True	nee	
76.6052915	0.4744740999999948	trials	76.6294605	True	boo	
77.5237104	0.4986429000000072	trials	77.6076656	True	laa	
78.5477093	0.46048140000000615	trials	78.5845987	True	maa	
79.5589877	0.6042228999999963	trials	79.7599713	True	soo	
80.6872945	0.5342603000000139	trials	80.8043229	True	roo	
81.7710796	0.49991500000000144	trials	81.8575789	True	tee	
82.7276599	0.5279000999999965	trials	82.8306958	True	haa	
83.7796438	0.4681137999999976	trials	83.8470624	True	waa	
84.7756576	0.5050032000000044	trials	84.863429	True	pee	
85.813649	0.48083429999999794	trials	85.8899719	True	lee	
86.8821696	0.4770181000000093	trials	86.9228751	True	wee	
87.9901237	0.5164515999999963	trials	88.0537261	True	yaa	
89.0395635	0.49482679999999846	trials	89.0726367	True	gaa	
90.027945	0.7326997999999918	trials	90.2518255	True	shaa	
91.687968	0.459209400000006	trials	91.7235854	True	doo	
93.0973975	0.4045114000000041	trials	93.1813527	True	woo	
97.62001628272206	0.3632792005536345	invalid_times				
98.7783651	0.4299522999999965	trials	98.8661365	True	kee	
99.9804507	0.5024590999999958	trials	100.0974792	True	fee	
101.358079	0.5291720999999967	trials	101.4572988	True	vaa	
104.0013954	0.4630254999999863	trials	104.0166599	True	bee	
105.520221	0.6805457999999902	trials	105.7809909	True	zoo	
109.1086692	0.6322080000000057	trials	109.286756	True	shaa	
110.3629088	0.49101059999999563	trials	110.3769013	True	baa	
115.7029675	0.37525420000000054	trials	115.8187239	True	noo	
118.0269997	0.41723179999999616	trials	118.0753375	True	waa	
119.3931796	0.49228260000001	trials	119.4873111	True	woo	
121.7146677	0.415959799999996	trials	121.7719098	True	laa	
122.6000133	0.508819299999999	trials	122.6941448	True	roo	
123.3772348	0.5431645999999972	trials	123.46119	True	yee	
124.5093577	0.4515772000000027	trials	124.543703	True	maa	
125.3934313	0.5189956999999907	trials	125.5257243	True	moo	
126.5815244	0.46175350000000037	trials	126.6298622	True	nee	
127.5113917	0.4312242999999967	trials	127.5826264	True	hoo	
128.4387149	0.43885659999997984	trials	128.4641558	True	goo	
129.3266046	0.5736937000000069	trials	129.4652578	True	loo	
130.4320145	0.45666539999999145	trials	130.5057933	True	hee	
