onset	duration	nwb_table	cv_transition_time	speak	condition	label
3.3658152	0.38068719999999967	trials	3.4216664	True	raa	
3.9860463	0.5235485000000004	trials	4.1929251	True	shee	
5.0594569	0.4273680000000004	trials	5.0930293	True	yoo	
6.2009197	0.3856294	trials	6.2199744	True	baa	
7.0883209	0.4908833999999995	trials	7.263442	True	zee	
8.1281591	0.4282754000000004	trials	8.1653609	True	gee	
9.0890566	0.3629453000000016	trials	9.1861445	True	kee	
10.0127523	0.3638525999999995	trials	10.0526763	True	ree	
11.8946235	0.3947029000000004	trials	11.9227517	True	voo	
13.0424378	0.46366259999999926	trials	13.1068606	True	noo	
14.6348602	0.3810924999999994	trials	14.682043	True	noo	
15.7100855	0.42827539999999864	trials	15.736399	True	dee	
16.4287171	0.4718288000000008	trials	16.495862	True	yee	
17.2834532	0.40740599999999816	trials	17.3560422	True	koo	
18.3151251	0.42101650000000035	trials	18.3641227	True	fee	
18.9811296	0.47545829999999967	trials	19.104531	True	hee	
19.9728775	0.36838949999999926	trials	19.9828585	True	vaa	
20.8194474	0.359045499999997	trials	20.8302859	True	loo	
21.5435277	0.31519850000000105	trials	21.575889	True	hoo	
22.5279568	0.395454400000002	trials	22.5907376	True	kaa	
23.2573792	0.40451559999999986	trials	23.3305156	True	poo	
24.1672876	0.3673491999999996	trials	24.1854351	True	bee	
25.1091957	0.3544778999999991	trials	25.1941704	True	paa	
25.8664704	0.3773876999999999	trials	25.9476962	True	taa	
26.6524865	0.35864330000000066	trials	26.6924746	True	naa	
27.3776874	0.5477537000000012	trials	27.5692971	True	saa	
28.4769437	0.4407022000000005	trials	28.6343968	True	shoo	
29.2592109	0.42154130000000123	trials	29.372094	True	foo	
30.2035133	0.3519785999999989	trials	30.2189254	True	daa	
31.1544803	0.4036299000000021	trials	31.2052986	True	faa	
32.1079467	0.3653078999999977	trials	32.1321061	True	goo	
33.1747126	0.4207080999999988	trials	33.2280301	True	mee	
34.1860783	0.440285700000004	trials	34.2481432	True	zaa	
35.0562361	0.5152633000000009	trials	35.2236863	True	see	
36.1609074	0.5148468000000008	trials	36.3745938	True	zoo	
37.1701904	0.4869384999999937	trials	37.2751592	True	too	
38.2698632	0.38321939999999444	trials	38.3006874	True	vee	
39.1854242	0.33531690000000225	trials	39.2112498	True	thaa	
40.592089	0.413626899999997	trials	40.6295778	True	moo	
41.4322556	0.4473669000000058	trials	41.4659956	True	thoo	
42.3386526	0.4806902999999991	trials	42.4631989	True	nee	
44.0073228	0.42612320000000636	trials	44.0373139	True	boo	
44.6854544	0.5148468000000008	trials	44.7608486	True	laa	
45.6514169	0.42195780000000127	trials	45.6922381	True	maa	
46.4524286	0.5202619000000013	trials	46.6098818	True	soo	
47.3738211	0.46361209999999886	trials	47.4192243	True	roo	
48.221069	0.4644452000000001	trials	48.3214558	True	tee	
49.0999742	0.44236839999999944	trials	49.1828662	True	haa	
50.014702	0.4273729000000017	trials	50.0576059	True	waa	
50.8656988	0.43986920000000396	trials	50.9215156	True	pee	
51.7396055	0.3982147999999981	trials	51.7525183	True	lee	
52.5310367	0.48735500000000087	trials	52.5631105	True	wee	
53.4274366	0.4540316000000004	trials	53.465342	True	yaa	
54.2709356	0.43653679999999895	trials	54.3117568	True	gaa	
55.4435034	0.48527230000000543	trials	55.5584692	True	shaa	
56.3982194	0.3790538000000012	trials	56.4344586	True	doo	
57.2758749	0.2957453000000001	trials	57.3054494	True	woo	
57.50008217059987	1.3183665866842418	invalid_times				
61.2117871	0.4290390999999971	trials	61.2975949	True	kee	
61.9211594	0.4536149999999992	trials	62.0202966	True	fee	
62.7784043	0.432787900000001	trials	62.867961	True	vaa	
63.9084848	0.33823270000000605	trials	63.9230638	True	bee	
64.4953935	0.6098184999999887	trials	64.7269912	True	zoo	
65.1872709	0.5664981999999981	trials	65.39221	True	shaa	
66.4539774	0.3703064999999981	trials	66.4673068	True	baa	
67.2620703	0.4477833999999916	trials	67.3307998	True	noo	
68.7270511	0.39321630000000596	trials	68.7541263	True	waa	
69.6684376	0.42029159999999877	trials	69.696346	True	woo	
70.8697469	0.4294555000000031	trials	70.9089019	True	laa	
72.0477297	0.4727759999999961	trials	72.1397856	True	roo	
73.034936	0.46277890000000355	trials	73.0895031	True	yee	
73.8130378	0.413626899999997	trials	73.8817673	True	maa	
74.8302351	0.4173758000000021	trials	74.8798037	True	moo	
75.6787327	0.4440345000000008	trials	75.7237193	True	nee	
76.4330915	0.48860469999999623	trials	76.5709672	True	hoo	
77.3119967	0.41362690000001123	trials	77.3378224	True	goo	
78.2221426	0.33531689999999514	trials	78.2500509	True	loo	
79.7224993	0.447757700000011	trials	79.8128141	True	hee	
80.6638081	0.4108686000000006	trials	80.7401305	True	tee	
81.442296	0.38161170000000766	trials	81.4626486	True	vee	
82.289474	0.507543499999997	trials	82.4357585	True	zee	
83.1150273	0.36761920000000714	trials	83.1760851	True	haa	
83.8858829	0.3828837000000078	trials	83.9087796	True	gaa	
84.7775822	0.5164479000000028	trials	84.9365871	True	shee	
85.5319013	0.5202639999999974	trials	85.6921783	True	shoo	
86.3332859	0.47447049999999535	trials	86.4108803	True	pee	
87.151207	0.4477576999999968	trials	87.2326175	True	kaa	
87.9322389	0.42613310000000126	trials	87.9475034	True	wee	
88.5758906	0.47447060000000363	trials	88.7094547	True	foo	
89.8123125	0.4642942999999917	trials	89.8377533	True	gee	
90.6086089	0.5164479000000028	trials	90.7141882	True	raa	
91.8399427	0.5838659000000064	trials	91.9429778	True	ree	
92.8830146	0.39687620000000834	trials	92.9618811	True	poo	
